iter	RMSE
0	11600.20363
1	11207.31686
2	10814.8291
3	10471.78639
4	10115.37753
5	9782.230752
6	9460.403354
7	9163.689096
8	8846.090835
9	8572.234293
10	8313.449093
11	8056.97095
12	7822.494053
13	7618.931713
14	7427.925356
15	7259.072329
16	7066.772163
17	6910.728075
18	6747.330365
19	6584.511392
20	6437.495239
21	6298.596373
22	6163.114993
23	6046.984458
24	5933.876048
25	5828.593421
26	5720.535208
27	5628.788516
28	5553.262487
29	5478.580425
30	5397.201108
31	5322.596192
32	5257.37347
33	5196.082445
34	5133.781469
35	5073.772098
36	5021.708453
37	4985.851124
38	4933.321047
39	4886.19219
40	4844.504589
41	4803.837379
42	4766.422259
43	4731.172433
44	4697.963568
45	4673.214973
46	4642.86164
47	4615.351774
48	4588.083367
49	4562.086894
50	4537.687059
51	4513.254159
52	4490.620067
53	4471.87558
54	4453.398141
55	4437.16584
56	4429.114035
57	4412.069823
58	4394.070911
59	4376.149941
60	4362.281859
61	4351.216846
62	4338.790628
63	4325.054294
64	4314.21251
65	4303.487598
66	4293.908437
67	4282.225132
68	4270.734348
69	4260.999819
70	4249.102488
71	4241.45412
72	4227.151049
73	4217.510102
74	4209.444778
75	4201.963964
76	4190.275801
77	4179.562264
78	4170.104451
79	4162.278995
80	4153.772265
81	4147.058512
82	4141.557853
83	4137.873416
84	4129.027098
85	4123.991793
86	4118.493716
87	4110.092148
88	4104.242192
89	4097.458803
90	4089.491188
91	4080.481781
92	4074.818771
93	4069.492658
94	4067.053217
95	4062.780785
96	4056.985735
97	4053.296558
98	4050.655208
99	4045.169723
100	4041.55543
101	4033.761176
102	4025.735739
103	4024.531191
104	4018.540361
105	4014.574549
106	4010.240047
107	4001.650769
108	3999.344157
109	3996.657693
110	3986.431775
111	3979.688021
112	3974.724661
113	3972.215985
114	3968.541846
115	3966.5395
116	3961.430186
117	3955.643807
118	3947.381521
119	3946.554828
120	3938.792159
121	3936.393512
122	3931.378055
123	3926.895909
124	3919.798834
125	3915.658762
126	3909.073421
127	3903.390141
128	3898.850223
129	3894.438582
130	3891.477685
131	3887.636102
132	3885.913625
133	3880.969703
134	3875.218281
135	3871.916914
136	3868.240647
137	3857.687577
138	3852.629754
139	3846.968025
140	3840.883675
141	3837.722007
142	3833.196779
143	3826.602077
144	3820.939846
145	3817.062017
146	3813.493017
147	3808.098125
148	3804.612867
149	3803.712918
150	3796.221032
151	3792.915002
152	3790.424388
153	3786.681167
154	3781.904359
155	3776.774868
156	3772.092396
157	3767.177864
158	3765.020846
159	3762.972964
160	3758.828029
161	3755.837097
162	3753.988747
163	3751.576114
164	3747.244353
165	3743.24151
166	3739.355364
167	3736.503549
168	3732.443932
169	3730.6289
170	3725.937458
171	3720.144174
172	3714.912885
173	3712.815941
174	3705.346096
175	3700.777173
176	3697.300384
177	3694.732218
178	3691.79182
179	3688.353543
180	3687.383686
181	3682.446551
182	3679.748919
183	3675.617828
184	3671.840244
185	3670.075173
186	3666.211547
187	3661.916315
188	3660.129086
189	3657.280359
190	3652.63946
191	3650.248549
192	3646.854248
193	3643.87225
194	3639.548417
195	3635.061669
196	3631.743638
197	3628.889039
198	3622.921039
199	3621.556548
200	3618.601232
201	3614.948006
202	3612.896653
203	3611.210189
204	3611.057272
205	3608.102311
206	3606.426922
207	3603.018832
208	3594.278775
209	3593.671843
210	3590.572834
211	3587.258741
212	3585.615928
213	3579.839946
214	3577.937535
215	3572.454772
216	3571.519257
217	3568.415433
218	3566.567958
219	3563.63615
220	3558.877568
221	3554.337759
222	3552.473433
223	3552.125456
224	3549.542318
225	3546.519413
226	3543.594421
227	3542.255258
228	3536.87552
229	3534.012253
230	3533.20608
231	3530.424441
232	3527.191489
233	3524.525638
234	3520.530626
235	3514.884344
236	3513.571987
237	3510.888606
238	3509.184033
239	3505.775501
240	3502.701372
241	3501.059665
242	3495.198056
243	3490.333045
244	3487.830019
245	3485.255457
246	3480.180695
247	3477.729685
248	3474.701681
249	3473.163358
250	3470.649423
251	3464.581965
252	3462.637095
253	3458.966414
254	3455.733646
255	3452.663899
256	3451.949716
257	3449.897622
258	3447.508717
259	3444.632066
260	3440.119486
261	3435.77168
262	3433.273954
263	3431.045126
264	3427.299959
265	3423.145792
266	3421.250331
267	3416.986003
268	3411.712396
269	3411.195523
270	3408.256419
271	3405.907403
272	3403.040502
273	3402.417736
274	3398.707964
275	3393.724982
276	3388.443107
277	3386.861867
278	3382.551581
279	3379.558924
280	3377.703195
281	3373.975193
282	3370.825741
283	3367.193402
284	3363.073759
285	3361.693986
286	3360.702633
287	3357.23852
288	3354.992703
289	3351.699179
290	3350.689967
291	3349.01749
292	3347.203474
293	3343.92893
294	3340.692836
295	3338.830257
296	3334.598531
297	3332.216881
298	3326.657385
299	3324.659643
