iter	Passed	Remaining
0	1	471
1	2	398
2	3	363
3	4	337
4	5	319
5	6	303
6	6	292
7	7	283
8	8	276
9	9	271
10	10	266
11	11	266
12	12	266
13	12	264
14	13	262
15	14	259
16	15	255
17	16	252
18	16	249
19	17	246
20	18	244
21	19	242
22	19	240
23	20	238
24	21	236
25	22	234
26	23	233
27	23	227
28	24	225
29	24	224
30	25	222
31	26	221
32	27	220
33	28	219
34	28	219
35	29	215
36	30	214
37	30	209
38	31	208
39	31	207
40	32	204
41	33	203
42	33	202
43	34	198
44	34	198
45	35	194
46	35	193
47	36	192
48	37	192
49	38	191
50	39	190
51	39	189
52	40	189
53	41	188
54	42	187
55	42	187
56	43	183
57	43	182
58	44	181
59	45	180
60	45	180
61	46	179
62	47	178
63	48	177
64	48	176
65	49	176
66	50	175
67	51	174
68	52	174
69	52	173
70	53	172
71	54	171
72	55	171
73	55	170
74	56	169
75	57	169
76	58	168
77	59	167
78	59	167
79	60	166
80	61	166
81	62	165
82	63	164
83	63	163
84	64	163
85	65	162
86	66	161
87	66	161
88	67	160
89	68	159
90	69	158
91	69	158
92	70	157
93	71	156
94	72	155
95	73	155
96	73	154
97	74	154
98	75	153
99	76	153
100	77	152
101	78	151
102	78	151
103	79	149
104	80	148
105	80	147
106	81	147
107	82	146
108	83	145
109	83	144
110	84	144
111	85	143
112	86	142
113	86	141
114	87	141
115	88	140
116	89	139
117	90	139
118	91	138
119	91	137
120	92	136
121	92	135
122	93	134
123	94	134
124	95	133
125	96	132
126	96	131
127	97	131
128	98	130
129	99	129
130	99	128
131	100	128
132	101	127
133	102	126
134	102	125
135	103	125
136	104	124
137	105	123
138	106	123
139	107	122
140	107	121
141	108	120
142	109	120
143	110	119
144	110	118
145	111	117
146	112	117
147	113	116
148	113	115
149	114	114
150	115	113
151	115	112
152	116	111
153	117	111
154	118	110
155	118	109
156	119	108
157	120	108
158	121	107
159	122	106
160	122	106
161	123	105
162	124	104
163	125	103
164	125	103
165	126	102
166	127	101
167	128	100
168	129	100
169	129	99
170	130	98
171	131	97
172	132	96
173	132	96
174	133	95
175	134	94
176	135	93
177	136	93
178	136	92
179	137	91
180	138	90
181	138	89
182	139	89
183	140	88
184	141	87
185	141	86
186	142	86
187	143	85
188	144	84
189	144	83
190	145	83
191	146	82
192	147	81
193	148	80
194	148	80
195	149	79
196	150	78
197	151	77
198	152	77
199	152	76
200	153	75
201	154	74
202	155	74
203	156	73
204	156	72
205	157	71
206	157	70
207	158	70
208	159	69
209	160	68
210	160	67
211	161	67
212	162	66
213	163	65
214	164	65
215	165	64
216	166	63
217	166	62
218	167	62
219	168	61
220	169	60
221	170	59
222	170	58
223	171	58
224	171	57
225	172	56
226	173	55
227	174	55
228	175	54
229	175	53
230	176	52
231	177	52
232	179	51
233	179	50
234	180	50
235	181	49
236	182	48
237	183	47
238	185	47
239	186	46
240	187	45
241	187	45
242	188	44
243	189	43
244	190	42
245	191	42
246	192	41
247	193	40
248	193	39
249	194	38
250	195	38
251	196	37
252	197	36
253	198	35
254	198	35
255	199	34
256	201	33
257	202	32
258	203	32
259	204	31
260	204	30
261	205	29
262	206	29
263	207	28
264	207	27
265	208	26
266	209	25
267	210	25
268	211	24
269	211	23
270	212	22
271	213	21
272	214	21
273	215	20
274	215	19
275	216	18
276	217	18
277	218	17
278	219	16
279	219	15
280	220	14
281	221	14
282	222	13
283	222	12
284	223	11
285	224	10
286	225	10
287	226	9
288	226	8
289	227	7
290	228	7
291	229	6
292	230	5
293	232	4
294	233	3
295	234	3
296	235	2
297	236	1
298	237	0
299	238	0
